order_id,user_id,product_id,Category,order_date,quantity,Isvalid,Signup_date,Days_since_signup,User_segment,Cohort,months_since_signup,cohort_month,activity_month,price,day_of_week,hour_of_day,order_month,total_orders,first_order,last_order,active_days,avg_gap,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment,cohort_index
O003736,U04950,P0007,gadgets,12-11-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-11,486.54,6,0,2023-11,1,12-11-2023,12-11-2023,0,,415,1,486.54,2,1,3,213,High Spender,
O010709,U05298,P0007,Electronics,13-08-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-08,486.54,1,0,2024-08,2,03-12-2023,13-08-2024,254,254,140,2,831.43,3,1,3,313,Recent but Low Value,
O003425,U01684,P0008,Electronics,27-07-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-07,372.76,3,0,2023-07,1,27-07-2023,27-07-2023,0,,523,1,372.76,1,1,3,113,High Spender,
O003393,U02101,P0009,gadgets,28-03-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-03,170.59,3,0,2024-03,2,03-10-2023,28-03-2024,177,177,278,2,352.11,2,1,3,213,High Spender,
O010240,U04824,P0010,Books,20-02-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-02,36.46,1,0,2024-02,1,20-02-2024,20-02-2024,0,,315,1,36.46,2,1,1,211,Other,
O002555,U04561,P0011,Unknown,25-03-2024,,Invalid,19-05-2024,Invalid,Invalid,May-24,#NUM!,2024-05,2024-03,362.39,0,0,2024-03,1,25-03-2024,25-03-2024,0,,281,1,362.39,2,1,3,213,High Spender,0
O006061,U04338,P0013,Unknown,25-11-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-11,468.71,0,0,2024-11,1,25-11-2024,25-11-2024,0,,36,1,468.71,3,1,3,313,Recent but Low Value,
O004348,U01008,P0014,Books,08-03-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-03,484.43,4,0,2024-03,1,08-03-2024,08-03-2024,0,,298,1,484.43,2,1,3,213,High Spender,
O008608,U03720,P0015,Apparel,04-08-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-08,390.85,4,0,2023-08,1,04-08-2023,04-08-2023,0,,515,1,390.85,1,1,3,113,High Spender,
O011937,U02553,P0017,Apparel,02-12-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-12,131.63,5,0,2023-12,1,02-12-2023,02-12-2023,0,,395,1,131.63,2,1,2,212,Other,
O006062,U02168,P0018,gadgets,04-06-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-06,276.92,1,0,2024-06,2,09-12-2023,04-06-2024,178,178,210,2,649.68,3,1,3,313,Recent but Low Value,
O008863,U04467,P0020,gadgets,22-09-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-09,94.38,6,0,2024-09,1,22-09-2024,22-09-2024,0,,100,1,94.38,3,1,1,311,Recent but Low Value,
O008944,U03397,P0021,Beauty,27-02-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-02,455.75,1,0,2024-02,1,27-02-2024,27-02-2024,0,,308,1,455.75,2,1,3,213,High Spender,
O001545,U00297,P0021,Beauty,28-01-2023,,Invalid,26-08-2024,Invalid,Invalid,Aug-24,#NUM!,2024-08,2023-01,455.75,5,0,2023-01,1,28-01-2023,28-01-2023,0,,703,1,455.75,1,1,3,113,High Spender,0
O000297,U05228,P0022,Home,15-12-2024,,Valid,02-02-2024,317,DORMANT,Feb-24,10,2024-02,2024-12,118.2,6,0,2024-12,1,15-12-2024,15-12-2024,0,,16,1,118.2,3,1,1,311,Recent but Low Value,10
O011534,U01484,P0024,Electronics,21-01-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-01,237.07,6,0,2024-01,1,21-01-2024,21-01-2024,0,,345,1,237.07,2,1,2,212,Other,
O007699,U05492,P0025,Apparel,15-05-2023,,Invalid,22-06-2023,Invalid,Invalid,Jun-23,#NUM!,2023-06,2023-05,124.39,0,0,2023-05,1,15-05-2023,15-05-2023,0,,596,1,124.39,1,1,1,111,Inactive,0
O008583,U03025,P0025,Apparel,19-07-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-07,124.39,2,0,2023-07,1,19-07-2023,19-07-2023,0,,531,1,124.39,1,1,1,111,Inactive,
O008710,U04657,P0026,Apparel,15-07-2024,,Valid,08-02-2023,348,DORMANT,Aug-23,11,2023-02,2024-07,120.55,0,0,2024-07,1,15-07-2024,15-07-2024,0,,169,1,120.55,3,1,1,311,Recent but Low Value,17
O007182,U04535,P0026,Books,06-09-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-09,120.55,2,0,2023-09,2,06-09-2023,08-12-2023,93,93,389,2,232.63,2,1,2,212,Other,
O004369,U01647,P0026,Apparel,23-02-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-02,120.55,4,0,2024-02,1,23-02-2024,23-02-2024,0,,312,1,120.55,2,1,1,211,Other,
O004887,U02760,P0027,Apparel,15-10-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-10,130.08,1,0,2024-10,1,15-10-2024,15-10-2024,0,,77,1,130.08,3,1,2,312,Recent but Low Value,
O005389,U04721,P0027,Books,24-06-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-06,130.08,5,0,2023-06,1,24-06-2023,24-06-2023,0,,556,1,130.08,1,1,2,112,Other,
O011801,U04631,P0027,Books,04-07-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-07,130.08,1,0,2023-07,1,04-07-2023,04-07-2023,0,,546,1,130.08,1,1,2,112,Other,
O009022,U02673,P0028,Books,30-03-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-03,183.79,3,0,2023-03,1,30-03-2023,30-03-2023,0,,642,1,183.79,1,1,2,112,Other,
O007985,U02973,P0029,Beauty,04-08-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-08,192.1,6,0,2024-08,1,04-08-2024,04-08-2024,0,,149,1,192.1,3,1,2,312,Recent but Low Value,
O006901,U04135,P0029,Home,14-11-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-11,192.1,1,0,2023-11,2,17-01-2023,14-11-2023,301,301,413,2,647.85,2,1,3,213,High Spender,
O001495,U04443,P0030,Home,04-07-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-07,370.77,1,0,2023-07,1,04-07-2023,04-07-2023,0,,546,1,370.77,1,1,3,113,High Spender,
O008523,U01615,P0031,gadgets,09-08-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-08,46.43,2,0,2023-08,1,09-08-2023,09-08-2023,0,,510,1,46.43,1,1,1,111,Inactive,
O009188,U00460,P0033,gadgets,09-02-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-02,149.74,4,0,2024-02,1,09-02-2024,09-02-2024,0,,326,1,149.74,2,1,2,212,Other,
O010249,U03738,P0033,gadgets,15-11-2023,,Invalid,01-07-2024,Invalid,Invalid,Jan-24,#NUM!,2024-07,2023-11,149.74,2,0,2023-11,1,15-11-2023,15-11-2023,0,,412,1,149.74,2,1,2,212,Other,0
O011557,U04895,P0034,Apparel,30-08-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-08,415.58,4,0,2024-08,1,30-08-2024,30-08-2024,0,,123,1,415.58,3,1,3,313,Recent but Low Value,
O009568,U02130,P0035,Unknown,08-04-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-04,78.66,0,0,2024-04,1,08-04-2024,08-04-2024,0,,267,1,78.66,2,1,1,211,Other,
O002244,U04339,P0035,Electronics,22-04-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-04,78.66,5,0,2023-04,1,22-04-2023,22-04-2023,0,,619,1,78.66,1,1,1,111,Inactive,
O000422,U00675,P0036,Unknown,21-05-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-05,50.93,6,0,2023-05,1,21-05-2023,21-05-2023,0,,590,1,50.93,1,1,1,111,Inactive,
O011360,U02179,P0036,Unknown,16-01-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-01,50.93,1,0,2024-01,1,16-01-2024,16-01-2024,0,,350,1,50.93,2,1,1,211,Other,
O004429,U02034,P0039,Unknown,25-05-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-05,231.7,3,0,2023-05,2,25-05-2023,22-09-2023,120,120,466,2,604.46,2,1,3,213,High Spender,
O008802,U04534,P0039,Beauty,16-08-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-08,231.7,2,0,2023-08,2,16-08-2023,02-12-2023,108,108,395,2,395.14,2,1,3,213,High Spender,
O005039,U04674,P0040,Unknown,29-05-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-05,260.94,2,0,2024-05,1,29-05-2024,29-05-2024,0,,216,1,260.94,3,1,2,312,Recent but Low Value,
O002094,U02953,P0041,Unknown,12-07-2023,,Valid,03-12-2023,122,DORMANT,Mar-23,4,2023-12,2023-07,296.87,2,0,2023-07,3,12-07-2023,08-05-2024,301,150.5,237,3,456.88,2,1,3,213,High Spender,0
O004334,U00964,P0043,Unknown,17-05-2024,,Valid,17-01-2024,121,DORMANT,Jan-24,4,2024-01,2024-05,36.45,4,0,2024-05,1,17-05-2024,17-05-2024,0,,228,1,36.45,3,1,1,311,Recent but Low Value,4
O007188,U02666,P0043,Home,22-11-2023,,Invalid,05-02-2024,Invalid,Invalid,May-24,#NUM!,2024-02,2023-11,36.45,2,0,2023-11,1,22-11-2023,22-11-2023,0,,405,1,36.45,2,1,1,211,Other,0
O011033,U01341,P0043,Home,06-06-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-06,36.45,1,0,2023-06,1,06-06-2023,06-06-2023,0,,574,1,36.45,1,1,1,111,Inactive,
O004911,U01893,P0044,Home,17-04-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-04,438.05,2,0,2024-04,1,17-04-2024,17-04-2024,0,,258,1,438.05,2,1,3,213,High Spender,
O006077,U04757,P0048,gadgets,03-05-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-05,125.71,4,0,2024-05,1,03-05-2024,03-05-2024,0,,242,1,125.71,2,1,1,211,Other,
O010525,U00370,P0048,Electronics,29-05-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-05,125.71,0,0,2023-05,1,29-05-2023,29-05-2023,0,,582,1,125.71,1,1,1,111,Inactive,
O008414,U00688,P0049,Electronics,28-09-2024,,Valid,24-01-2024,248,DORMANT,Jan-24,8,2024-01,2024-09,250.3,5,0,2024-09,1,28-09-2024,28-09-2024,0,,94,1,250.3,3,1,2,312,Recent but Low Value,8
O008732,U00551,P0049,Electronics,30-08-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-08,250.3,2,0,2023-08,1,30-08-2023,30-08-2023,0,,489,1,250.3,1,1,2,112,Other,
O011768,U02874,P0049,Books,24-04-2023,,Invalid,06-08-2024,Invalid,Invalid,Jun-24,#NUM!,2024-08,2023-04,250.3,0,0,2023-04,1,24-04-2023,24-04-2023,0,,617,1,250.3,1,1,2,112,Other,0
O001439,U05180,P0050,Books,14-04-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-04,220.55,6,0,2024-04,1,14-04-2024,14-04-2024,0,,261,1,220.55,2,1,2,212,Other,
O005832,U03032,P0051,gadgets,19-05-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-05,51.91,4,0,2023-05,1,19-05-2023,19-05-2023,0,,592,1,51.91,1,1,1,111,Inactive,
O008105,U04565,P0051,gadgets,26-02-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-02,51.91,0,0,2024-02,1,26-02-2024,26-02-2024,0,,309,1,51.91,2,1,1,211,Other,
O007171,U04211,P0052,Books,15-09-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-09,101.19,6,0,2024-09,1,15-09-2024,15-09-2024,0,,107,1,101.19,3,1,1,311,Recent but Low Value,
O000290,U03493,P0052,Books,05-01-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-01,101.19,3,0,2023-01,1,05-01-2023,05-01-2023,0,,726,1,101.19,1,1,1,111,Inactive,
O000767,U02204,P0053,Beauty,15-12-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-12,350.69,4,0,2023-12,1,15-12-2023,15-12-2023,0,,382,1,350.69,2,1,3,213,High Spender,
O003836,U03579,P0055,Unknown,16-05-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-05,253.51,3,0,2024-05,1,16-05-2024,16-05-2024,0,,229,1,253.51,3,1,2,312,Recent but Low Value,
O011504,U04699,P0056,Unknown,27-05-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-05,34.59,5,0,2023-05,1,27-05-2023,27-05-2023,0,,584,1,34.59,1,1,1,111,Inactive,
O007204,U01697,P0057,Apparel,13-12-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-12,362.93,4,0,2024-12,1,13-12-2024,13-12-2024,0,,18,1,362.93,3,1,3,313,Recent but Low Value,
O008388,U02239,P0058,Books,21-10-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-10,270.28,5,0,2023-10,1,21-10-2023,21-10-2023,0,,437,1,270.28,2,1,2,212,Other,
O006185,U03433,P0058,Books,10-11-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-11,270.28,4,0,2023-11,1,10-11-2023,10-11-2023,0,,417,1,270.28,2,1,2,212,Other,
O003769,U02732,P0058,Apparel,29-08-2023,,Invalid,13-07-2024,Invalid,Invalid,Jul-24,#NUM!,2024-07,2023-08,270.28,1,0,2023-08,1,29-08-2023,29-08-2023,0,,490,1,270.28,1,1,2,112,Other,0
O006951,U03615,P0060,Apparel,22-01-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-01,47.46,0,0,2024-01,1,22-01-2024,22-01-2024,0,,344,1,47.46,2,1,1,211,Other,
O002647,U00222,P0061,Beauty,27-03-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-03,107.03,2,0,2024-03,1,27-03-2024,27-03-2024,0,,279,1,107.03,2,1,1,211,Other,
O001789,U03757,P0061,Beauty,18-11-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-11,107.03,5,0,2023-11,2,18-11-2023,05-12-2024,383,383,26,2,403.9,3,1,3,313,Recent but Low Value,
O002376,U00264,P0061,Beauty,31-05-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-05,107.03,4,0,2024-05,1,31-05-2024,31-05-2024,0,,214,1,107.03,3,1,1,311,Recent but Low Value,
O005860,U00469,P0063,Beauty,07-03-2024,,Invalid,29-07-2024,Invalid,Invalid,Jul-24,#NUM!,2024-07,2024-03,50.59,3,0,2024-03,1,07-03-2024,07-03-2024,0,,299,1,50.59,2,1,1,211,Other,0
O011217,U01152,P0063,Beauty,11-08-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-08,50.59,4,0,2023-08,2,11-08-2023,09-03-2024,211,211,297,2,59.59,2,1,1,211,Other,
O003096,U05159,P0063,Beauty,11-06-2023,,Invalid,04-12-2024,Invalid,Invalid,Apr-24,#NUM!,2024-12,2023-06,50.59,6,0,2023-06,1,11-06-2023,11-06-2023,0,,569,1,50.59,1,1,1,111,Inactive,0
O004971,U04538,P0064,Electronics,12-04-2023,,Invalid,03-06-2024,Invalid,Invalid,Mar-24,#NUM!,2024-06,2023-04,37.14,2,0,2023-04,1,12-04-2023,12-04-2023,0,,629,1,37.14,1,1,1,111,Inactive,0
O011651,U04634,P0065,Electronics,30-11-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-11,118.28,5,0,2024-11,1,30-11-2024,30-11-2024,0,,31,1,118.28,3,1,1,311,Recent but Low Value,
O003197,U04809,P0065,Books,23-11-2023,,Valid,18-08-2023,97,DORMANT,Aug-23,3,2023-08,2023-11,118.28,3,0,2023-11,1,23-11-2023,23-11-2023,0,,404,1,118.28,2,1,1,211,Other,3
O008226,U04577,P0065,Beauty,27-07-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-07,118.28,3,0,2023-07,1,27-07-2023,27-07-2023,0,,523,1,118.28,1,1,1,111,Inactive,
O004307,U00689,P0066,Beauty,26-09-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-09,243.28,3,0,2024-09,1,26-09-2024,26-09-2024,0,,96,1,243.28,3,1,2,312,Recent but Low Value,
O002986,U03113,P0066,Beauty,12-03-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-03,243.28,1,0,2024-03,1,12-03-2024,12-03-2024,0,,294,1,243.28,2,1,2,212,Other,
O005058,U00952,P0067,Beauty,05-04-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-04,209.21,2,0,2023-04,2,05-04-2023,03-12-2024,608,608,28,2,426.17,3,1,3,313,Recent but Low Value,
O005355,U05113,P0067,Beauty,29-05-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-05,209.21,0,0,2023-05,2,29-05-2023,02-10-2024,492,492,90,2,440.91,3,1,3,313,Recent but Low Value,
O006539,U05366,P0069,Apparel,22-09-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-09,472.92,6,0,2024-09,2,06-02-2024,22-09-2024,229,229,100,2,496.07,3,1,3,313,Recent but Low Value,
O006932,U02560,P0069,Beauty,05-09-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-09,472.92,3,0,2024-09,1,05-09-2024,05-09-2024,0,,117,1,472.92,3,1,3,313,Recent but Low Value,
O010287,U05268,P0070,Beauty,20-05-2024,,Valid,01-10-2024,131,DORMANT,Jan-24,4,2024-10,2024-05,12.32,0,0,2024-05,1,20-05-2024,20-05-2024,0,,225,1,12.32,3,1,1,311,Recent but Low Value,0
O010345,U02640,P0072,Apparel,17-11-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-11,43.42,6,0,2024-11,1,17-11-2024,17-11-2024,0,,44,1,43.42,3,1,1,311,Recent but Low Value,
O004927,U00140,P0072,Home,11-12-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-12,43.42,0,0,2023-12,2,11-12-2023,12-12-2024,367,367,19,2,79.87,3,1,1,311,Recent but Low Value,
O005662,U03946,P0073,Home,02-04-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-04,230.77,1,0,2024-04,1,02-04-2024,02-04-2024,0,,273,1,230.77,2,1,2,212,Other,
O008241,U00811,P0075,Unknown,05-09-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-09,337.34,3,0,2024-09,1,05-09-2024,05-09-2024,0,,117,1,337.34,3,1,3,313,Recent but Low Value,
O010624,U02660,P0075,Unknown,03-06-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-06,337.34,5,0,2023-06,1,03-06-2023,03-06-2023,0,,577,1,337.34,1,1,3,113,High Spender,
O000914,U00714,P0076,Electronics,16-02-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-02,317.28,4,0,2024-02,2,21-04-2023,16-02-2024,301,301,319,2,773.03,2,1,3,213,High Spender,
O003459,U00058,P0076,Electronics,20-11-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-11,317.28,0,0,2023-11,1,20-11-2023,20-11-2023,0,,407,1,317.28,2,1,2,212,Other,
O006477,U04534,P0077,Apparel,02-12-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-12,163.44,5,0,2023-12,2,16-08-2023,02-12-2023,108,108,395,2,395.14,2,1,3,213,High Spender,
O006534,U04869,P0079,Unknown,08-06-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-06,168.68,3,0,2023-06,2,08-06-2023,28-07-2023,50,50,522,2,174.07,1,1,2,112,Other,
O006493,U02891,P0080,Unknown,22-02-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-02,229.8,3,0,2024-02,1,22-02-2024,22-02-2024,0,,313,1,229.8,2,1,2,212,Other,
O011251,U00473,P0080,gadgets,05-06-2024,,Invalid,22-08-2024,Invalid,Invalid,Aug-24,#NUM!,2024-08,2024-06,229.8,2,0,2024-06,1,05-06-2024,05-06-2024,0,,209,1,229.8,3,1,2,312,Recent but Low Value,0
O009100,U04358,P0080,gadgets,08-03-2024,,Valid,14-01-2023,419,CHURNED,Jan-23,13,2023-01,2024-03,229.8,4,0,2024-03,3,22-09-2023,08-03-2024,168,84,298,3,643.29,2,1,3,213,High Spender,14
O007377,U00286,P0080,gadgets,29-04-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-04,229.8,0,0,2024-04,1,29-04-2024,29-04-2024,0,,246,1,229.8,2,1,2,212,Other,
O011177,U03486,P0081,Apparel,02-03-2024,,Invalid,08-06-2024,Invalid,Invalid,Aug-24,#NUM!,2024-06,2024-03,,5,0,2024-03,1,02-03-2024,02-03-2024,0,,304,1,0,2,1,1,211,Other,0
O006693,U03728,P0081,Home,16-01-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-01,,0,0,2023-01,1,16-01-2023,16-01-2023,0,,715,1,0,1,1,1,111,Inactive,
O007976,U00343,P0082,Home,09-04-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-04,31.18,6,0,2023-04,1,09-04-2023,09-04-2023,0,,632,1,31.18,1,1,1,111,Inactive,
O011702,U02959,P0084,Home,18-09-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-09,327.59,2,0,2024-09,1,18-09-2024,18-09-2024,0,,104,1,327.59,3,1,2,312,Recent but Low Value,
O008150,U00326,P0086,Books,12-04-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-04,432.54,4,0,2024-04,1,12-04-2024,12-04-2024,0,,263,1,432.54,2,1,3,213,High Spender,
O001384,U01823,P0086,Books,12-04-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-04,432.54,4,0,2024-04,1,12-04-2024,12-04-2024,0,,263,1,432.54,2,1,3,213,High Spender,
O010124,U01969,P0086,Books,21-06-2024,,Valid,28-01-2023,510,CHURNED,Jan-23,16,2023-01,2024-06,432.54,4,0,2024-06,1,21-06-2024,21-06-2024,0,,193,1,432.54,3,1,3,313,Recent but Low Value,17
O004732,U03211,P0087,Books,25-09-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-09,411.87,2,0,2024-09,1,25-09-2024,25-09-2024,0,,97,1,411.87,3,1,3,313,Recent but Low Value,
O000101,U03699,P0090,Electronics,10-11-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-11,405.27,6,0,2024-11,1,10-11-2024,10-11-2024,0,,51,1,405.27,3,1,3,313,Recent but Low Value,
O009674,U02205,P0093,Electronics,24-02-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-02,93.71,5,0,2024-02,1,24-02-2024,24-02-2024,0,,311,1,93.71,2,1,1,211,Other,
O003473,U03835,P0093,Apparel,03-11-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-11,93.71,4,0,2023-11,2,03-11-2023,24-03-2024,142,142,282,2,549.46,2,1,3,213,High Spender,
O005307,U03460,P0094,Beauty,24-03-2024,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2024-03,372.81,6,0,2024-03,1,24-03-2024,24-03-2024,0,,282,1,372.81,2,1,3,213,High Spender,
O001050,U03070,P0095,Books,12-03-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-03,11.06,6,0,2023-03,1,12-03-2023,12-03-2023,0,,660,1,11.06,1,1,1,111,Inactive,
O000257,U01805,P0095,Books,07-03-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-03,11.06,1,0,2023-03,1,07-03-2023,07-03-2023,0,,665,1,11.06,1,1,1,111,Inactive,
O000218,U02716,P0097,Apparel,24-10-2023,,Invalid,,Invalid,Invalid,Null,#VALUE!,,2023-10,96.42,1,0,2023-10,1,24-10-2023,24-10-2023,0,,434,1,96.42,2,1,1,211,Other,
